people	entidad	description	img
Pablo Abejas	-	Presidente de la Comisión de Control de Caja Madrid
Matías Amat	-	Director general de Negocio de Caja Madrid
Miguel Ángel Araujo	PP	Consejero nombrado a propuesta del PP
Francisco Baquero	CCOO	Consejero nombrado a propuesta de CC.OO.
Juan Astorqui	-	Director de Comunicación de Caja Madrid
Miguel Blesa	-		img/miguel-blesa.png
Carmen Contreras	-	Directora gerente de Obra Social en Caja Madrid
Rubén Cruz Uribe	IU	Consejero nombrado a propuesta de IU
Arturo Fernández	CEIM	Consejero nombrado a propuesta de la patronal CEIM
Ramón Ferraz Ricarte	-	Consejero ejecutivo
Carlos Mª Martínez	-	Consejero ejecutivo
Mercedes de la Merced	PP	Consejera nombrada a propuesta del PP
Ricardo Morado Iglesias	-	Director de Organizacion de Caja Madrid
José Antonio Moral Santín	IU	Consejero nombrado a propuesta de IU
Mariano Pérez Claver	-	Consejero ejecutivo
Rodrigo Rato	PP	Presidente de Caja Madrid y Bankia entre 2010 y 2012	img/rodrigo-rato.png
Estanislao Rodríguez-Ponga	PP	Consejero nombrado a propuesta del PP
Antonio Romero Lázaro	PSOE	Consejero nombrado a propuesta del PSOE
Romero de Tejada	PP	Consejero nombrado a propuesta del PP
Ildefonso Sánchez Barcoj	-	Director financiero en Caja Madrid
Rafael Spottorno	-	Director de la Fundacion Caja Madrid
Enrique de la Torre	-	Secretario del Consejo de Caja Madrid
Carlos Vela	-	Responsable de Credito a Empresas de Caja Madrid
Virgilio Zapatero	PSOE	Consejero nombrado a propuesta del PSOE
